frame_index,lidar_stamp_sec
1,1717776571.61581
2,1717776571.70735
3,1717776571.79926
4,1717776571.8907
5,1717776571.98201
6,1717776572.07358
7,1717776572.16522
8,1717776572.25692
9,1717776572.34884
10,1717776572.44102
11,1717776572.53361
12,1717776572.62386
13,1717776572.71566
14,1717776572.80782
15,1717776572.89935
16,1717776572.99157
17,1717776573.08221
18,1717776573.17371
19,1717776573.26547
20,1717776573.35714
21,1717776573.44889
22,1717776573.54044
23,1717776573.63263
24,1717776573.72443
25,1717776573.81554
26,1717776573.90762
27,1717776573.9986
28,1717776574.09055
29,1717776574.18301
30,1717776574.27432
31,1717776574.36596
32,1717776574.45675
33,1717776574.54867
34,1717776574.64055
35,1717776574.73193
36,1717776574.82364
37,1717776574.91674
38,1717776575.00743
39,1717776575.09923
40,1717776575.19046
41,1717776575.2828
42,1717776575.37449
43,1717776575.46613
44,1717776575.55803
45,1717776575.64882
46,1717776575.74057
47,1717776575.8319
48,1717776575.92392
49,1717776576.01639
50,1717776576.10844
51,1717776576.19883
52,1717776576.29061
53,1717776576.38213
54,1717776576.47375
55,1717776576.56596
56,1717776576.65732
57,1717776576.74932
58,1717776576.84042
59,1717776576.93213
60,1717776577.02389
61,1717776577.11589
62,1717776577.20777
63,1717776577.29981
64,1717776577.3909
65,1717776577.4826
66,1717776577.57359
67,1717776577.66561
68,1717776577.75743
69,1717776577.84896
70,1717776577.94125
71,1717776578.03207
72,1717776578.12364
73,1717776578.21535
74,1717776578.30749
75,1717776578.40006
76,1717776578.49118
77,1717776578.5819
78,1717776578.67393
79,1717776578.7659
80,1717776578.8575
81,1717776578.94918
82,1717776579.04079
83,1717776579.13322
84,1717776579.22363
85,1717776579.31561
86,1717776579.40731
87,1717776579.49903
88,1717776579.59118
89,1717776579.68243
90,1717776579.77401
91,1717776579.86573
92,1717776579.95723
93,1717776580.04891
94,1717776580.14045
95,1717776580.23243
96,1717776580.32451
97,1717776580.41525
98,1717776580.50701
99,1717776580.599
100,1717776580.69051
101,1717776580.78343
102,1717776580.87454
103,1717776580.9663
104,1717776581.05763
105,1717776581.14919
106,1717776581.24065
107,1717776581.33214
108,1717776581.42382
109,1717776581.5176
110,1717776581.60733
111,1717776581.69893
112,1717776581.79054
113,1717776581.88251
114,1717776581.97426
115,1717776582.06582
116,1717776582.15781
117,1717776582.24885
118,1717776582.34047
119,1717776582.4325
120,1717776582.52384
121,1717776582.616
122,1717776582.70795
123,1717776582.79864
124,1717776582.89028
125,1717776582.98212
126,1717776583.07395
127,1717776583.16564
128,1717776583.25741
129,1717776583.35007
130,1717776583.44047
131,1717776583.53228
132,1717776583.62463
133,1717776583.716
134,1717776583.80794
135,1717776583.89937
136,1717776583.99056
137,1717776584.08254
138,1717776584.17388
139,1717776584.26583
140,1717776584.35796
141,1717776584.44914
142,1717776584.54096
143,1717776584.63247
144,1717776584.72416
145,1717776584.81596
146,1717776584.90793
147,1717776585.00057
148,1717776585.09238
149,1717776585.18474
150,1717776585.27545
151,1717776585.36703
152,1717776585.46007
153,1717776585.55159
154,1717776585.64367
155,1717776585.73516
156,1717776585.82784
157,1717776585.91842
158,1717776586.01009
159,1717776586.1034
160,1717776586.19482
161,1717776586.28678
162,1717776586.37847
163,1717776586.47095
164,1717776586.56143
165,1717776586.65313
166,1717776586.74641
167,1717776586.83796
168,1717776586.92989
169,1717776587.02166
170,1717776587.11336
171,1717776587.20439
172,1717776587.29612
173,1717776587.38781
174,1717776587.47943
175,1717776587.57136
176,1717776587.66343
177,1717776587.75436
178,1717776587.84622
179,1717776587.93759
180,1717776588.02934
181,1717776588.1213
182,1717776588.21281
183,1717776588.30552
184,1717776588.39615
185,1717776588.48792
186,1717776588.57995
187,1717776588.67148
188,1717776588.76348
189,1717776588.85586
190,1717776588.94616
191,1717776589.03783
192,1717776589.1294
193,1717776589.22092
194,1717776589.31268
195,1717776589.40481
196,1717776589.49648
197,1717776589.58787
198,1717776589.67954
199,1717776589.77129
200,1717776589.86305
201,1717776589.95496
202,1717776590.04659
203,1717776590.13248
204,1717776590.22416
205,1717776590.31578
206,1717776590.40796
207,1717776590.49947
208,1717776590.59033
209,1717776590.68215
210,1717776590.7738
211,1717776590.86572
212,1717776590.95724
213,1717776591.04933
214,1717776591.14116
215,1717776591.23243
216,1717776591.32406
217,1717776591.41537
218,1717776591.50722
219,1717776591.59961
220,1717776591.69062
221,1717776591.78198
222,1717776591.8737
223,1717776591.96551
224,1717776592.05727
225,1717776592.14922
226,1717776592.2409
227,1717776592.33381
228,1717776592.42375
229,1717776592.51547
230,1717776592.60711
231,1717776592.69897
232,1717776592.7906
233,1717776592.88209
234,1717776592.97376
235,1717776593.06512
236,1717776593.1571
237,1717776593.24907
238,1717776593.3406
239,1717776593.43263
240,1717776593.52517
241,1717776593.61582
242,1717776593.70759
243,1717776593.79915
244,1717776593.89065
245,1717776593.98264
246,1717776594.07389
247,1717776594.16614
248,1717776594.257
249,1717776594.34861
250,1717776594.44045
251,1717776594.53235
252,1717776594.62462
253,1717776594.71688
254,1717776594.80702
255,1717776594.89915
256,1717776594.99065
257,1717776595.08192
258,1717776595.1745
259,1717776595.266
260,1717776595.35852
261,1717776595.44894
262,1717776595.54072
263,1717776595.63243
264,1717776595.72374
265,1717776595.81648
266,1717776595.90785
267,1717776595.99873
268,1717776596.09034
269,1717776596.18192
270,1717776596.27402
271,1717776596.36614
272,1717776596.45778
273,1717776596.54966
274,1717776596.64032
275,1717776596.73212
276,1717776596.8237
277,1717776596.91555
278,1717776597.00718
279,1717776597.0994
280,1717776597.19035
281,1717776597.28221
282,1717776597.37378
283,1717776597.46534
284,1717776597.55735
285,1717776597.64882
286,1717776597.74179
287,1717776597.83169
288,1717776597.9234
289,1717776598.01545
290,1717776598.10711
291,1717776598.19863
292,1717776598.29099
293,1717776598.38155
294,1717776598.47331
295,1717776598.56537
296,1717776598.65702
297,1717776598.74852
298,1717776598.84021
299,1717776598.93279
300,1717776599.02356
301,1717776599.11555
302,1717776599.20717
303,1717776599.29848
304,1717776599.39051
305,1717776599.4817
306,1717776599.57333
307,1717776599.6652
308,1717776599.757
309,1717776599.84858
310,1717776599.94017
311,1717776600.03284
312,1717776600.12543
313,1717776600.21571
314,1717776600.30752
315,1717776600.39921
316,1717776600.49046
317,1717776600.58223
318,1717776600.67375
319,1717776600.76543
