file,findings,ids
setupVehicleLocalization.m,0,
config/improvedObserverConfig.m,0,
scripts/auditMncavOutageCertificate.m,0,
scripts/runImprovedObserverDesign.m,0,
scripts/runMncavObserverReplay.m,0,
scripts/designLidarOnlyTimerCertificate.m,0,
scripts/validatePoseObserverImplementation.m,0,
tests/improvedObserverTest.m,0,
localization/localizeLidarFrame.m,0,
localization/buildImprovedObserverCertificateData.m,0,
localization/computeLidarInformationWeights.m,0,
localization/designImprovedObserverGains.m,0,
localization/evaluateImprovedObserverChannels.m,0,
localization/improvedObserverReferenceDesign.m,0,
localization/runImprovedVehicleObserver.m,0,
localization/simulateImprovedObserverScenario.m,0,
localization/verifyImprovedObserverDesign.m,0,
localization/poseRowToPlanarPose.m,0,
localization/fitLidarPitchCalibration.m,0,
localization/prepareSemanticRegistration.m,0,
localization/projectSemanticProbabilityCloud.m,0,
localization/balanceSemanticDistributions.m,0,
localization/registerSemanticProbabilityCloud.m,0,
localization/semanticGaussianOverlap.m,0,
localization/scoreSemanticProbabilityCloudAlignment.m,0,
localization/registrationPoseMeasurement.m,0,
localization/designContinuousObserverGains.m,0,
localization/verifyContinuousObserverDesign.m,0,
localization/observerCertificateConditions.m,0,
