scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,0,0.640312423976002,2
fusion,0.1,0.449920503697763,1.99773389511368
fusion,0.2,0.0848277079091871,0.80358651961888
fusion,0.3,0.350070639977474,0.311598910113981
fusion,0.4,0.558827041880149,0.0226203353275363
fusion,0.5,0.469554638227417,-0.0995533927564764
fusion,0.6,0.281009885161881,-0.15134505148307
fusion,0.7,0.098194351403469,-0.124769785008522
fusion,0.8,0.0590066042685229,-0.111251978659707
fusion,0.9,0.0773977483671881,-0.126036105183912
fusion,1,0.0978115379578028,-0.0665108716875096
fusion,1.1,0.0327029736844776,-0.119920709272047
fusion,1.2,0.0411750248514207,-0.116147468010834
fusion,1.3,0.0466838472471526,-0.183454643885975
fusion,1.4,0.0897093146765751,-0.185967562425673
fusion,1.5,0.0698986041182426,-0.110135068948948
fusion,1.6,0.0749577505199899,-0.119334283153288
fusion,1.7,0.0787250938001033,-0.104431553096381
fusion,1.8,0.018857926317569,-0.116582156732075
fusion,1.9,0.014303014109252,-0.113226530286199
fusion,2,0.0246652623045861,-0.129030945982785
fusion,2.1,0.0548361219548853,-0.120392904247411
fusion,2.2,0.0788122692841652,-0.114826816339298
fusion,2.3,0.0486928527609597,-0.120288178663066
fusion,2.4,0.0829779212859084,-0.150687760877211
fusion,2.5,0.0515144508293535,-0.182764772615053
fusion,2.6,0.0700467360545913,-0.141823932767733
fusion,2.7,0.0940000161233454,-0.11860768275108
fusion,2.8,0.0262535865686054,-0.0858644905455247
fusion,2.9,0.0611672236654724,-0.104531307323408
fusion,3,0.0603617099599095,-0.0349926410218061
fusion,3.1,0.053709825420929,-0.0390140866385049
fusion,3.2,0.0308983187007346,-0.0310998306807
fusion,3.3,0.0331266444254496,-0.0220319139368039
fusion,3.4,0.0652933598570982,-0.0283698330924195
fusion,3.5,0.0648704571303044,-0.0240499485199061
fusion,3.6,0.0956348420200228,0.011017023636636
fusion,3.7,0.0532284594458851,0.00241395675959907
fusion,3.8,0.0406339230238638,0.0103058504019879
fusion,3.9,0.0358068711883769,-0.0332046720710463
fusion,4,0.05427486692982,-0.0482829704432341
fusion,4.1,0.0458304683442762,-0.0422894047146576
fusion,4.2,0.0401686860898052,0.0111814963384965
fusion,4.3,0.0280673044721187,0.0162377859283232
fusion,4.4,0.0120960676446243,0.0129665776578343
fusion,4.5,0.00456961962281382,0.00799090758755329
fusion,4.6,0.00482882499514252,0.0214851494678446
fusion,4.7,0.00451760915416124,0.0157777412303984
fusion,4.8,0.010471109306135,0.0177681871956959
fusion,4.9,0.012171078314411,0.0362015650745845
fusion,5,0.0110606129653105,0.0554972038586726
fusion,5.1,0.0107066553395793,0.0468972730399755
fusion,5.2,0.0131057329686288,0.0524994195795933
fusion,5.3,0.0168412609747059,0.0595752103740442
fusion,5.4,0.0221685415953607,0.0438330139151695
fusion,5.5,0.055751668573844,0.0674302525182168
fusion,5.6,0.0593076299638092,0.0793358421277391
fusion,5.7,0.0385026496307114,0.0803863717862269
fusion,5.8,0.0360267422393409,0.0783873155923741
fusion,5.9,0.0353800302793153,0.0715234093974236
fusion,6,0.0397527691844519,0.0577772853655339
fusion,6.1,0.0362233396463058,0.0557995031591968
fusion,6.2,0.0301294016971787,0.0331342952976819
fusion,6.3,0.0328721196018326,0.0490825454758202
fusion,6.4,0.0300546659146189,0.0587916273118676
fusion,6.5,0.0590281227907378,0.0639307657749897
fusion,6.6,0.0431622860428679,0.0576382215264937
fusion,6.7,0.0432174640917619,0.0737507246726817
fusion,6.8,0.0318057765515591,0.119661724080856
fusion,6.9,0.040837435771826,0.0868466079862748
fusion,7,0.0667895256455266,0.0528725228083621
fusion,7.1,0.121189032948583,-0.087836021854698
fusion,7.2,0.099619656676278,-0.112544702422653
fusion,7.3,0.146507982511641,-0.282765767504383
fusion,7.4,0.121004806757818,-0.36605317530115
fusion,7.5,0.144522955378318,-0.539819775987038
fusion,7.6,0.122588802206914,-0.523161620701351
fusion,7.7,0.125375499676572,-0.567060465976902
fusion,7.8,0.0753028302871108,-0.407335405288945
fusion,7.9,0.0695844179398035,-0.358229107685119
fusion,8,0.103628849506248,-0.432010357068083
fusion,8.1,0.178899595074084,-0.525928877347839
fusion,8.2,0.216166859092649,-0.702868304772161
fusion,8.3,0.367157988413271,-0.804143843215957
fusion,8.4,0.152787384258282,-0.815296729383921
fusion,8.5,0.0872392529990644,-0.789408184491244
fusion,8.6,0.117343375460849,-0.754826965364403
fusion,8.7,0.066282738921619,-0.707382390097943
fusion,8.8,0.111033252948742,-0.738110922123919
fusion,8.9,0.106489951136041,-0.198654686901935
fusion,9,0.0390019190800815,-0.232986896699645
fusion,9.1,0.179458518985527,-0.262571546211309
fusion,9.2,0.119049013044684,-0.267600880282091
fusion,9.3,0.125757458437292,-0.292157751325817
fusion,9.4,0.197812838031214,-0.525284457659831
fusion,9.5,0.239945253373359,-0.54377484773113
fusion,9.6,0.175328087830402,-0.551369136343354
fusion,9.7,0.0871454444878634,-0.556647252178689
fusion,9.8,0.067498810842456,-0.498700369266527
fusion,9.9,0.0606459003616433,-0.512879123340935
fusion,10,0.062981747863446,-0.476896084920987
fusion,10.1,0.0768045247411739,-0.45663838119767
fusion,10.2,0.0571476094343343,-0.820178098511362
fusion,10.3,0.106666970374944,-0.917544209131282
fusion,10.4,0.113166275306409,-0.962795741604235
fusion,10.5,0.0931439214362646,-0.744328295312791
fusion,10.6,0.0950954606053076,-0.687605799183016
fusion,10.7,0.106774270375948,-0.634594844462963
fusion,10.8,0.116537803136358,-0.342713891258131
fusion,10.9,0.146216568188387,-0.248409976132566
fusion,11,0.227436099739786,-0.307164179839478
fusion,11.1,0.200547550713671,-0.268811055185145
fusion,11.2,0.296285885831002,-0.165158186369427
fusion,11.3,0.288863303057433,-0.062564363067347
fusion,11.4,0.219582001727134,0.0254872610518781
fusion,11.5,0.228590648451306,0.0464854828419566
fusion,11.6,0.288997345375692,0.0382222938407376
fusion,11.7,0.26776392426454,0.0706885258686807
fusion,11.8,0.31467318530017,0.349680845458211
fusion,11.9,0.155103845699342,0.354666279791875
fusion,12,0.10745039615317,0.204105458952296
fusion,12.1,0.230303718490182,0.336169297672663
fusion,12.2,0.449461592367924,0.280814484173188
fusion,12.3,0.269495757054935,0.298529743799586
fusion,12.4,0.317376103112673,0.227337210516566
fusion,12.5,0.285862661090909,0.352211418812864
fusion,12.6,0.269165203964351,0.370954463349334
fusion,12.7,0.170566224878516,0.386873652479371
fusion,12.8,0.0780511926479818,0.411301340807698
fusion,12.9,0.0796141984266959,0.460911081581366
fusion,13,0.145520780855779,0.484860522919144
fusion,13.1,0.158877596978666,0.467567964688946
fusion,13.2,0.194357517007485,0.36874244541016
fusion,13.3,0.152821128258175,0.362890953297673
fusion,13.4,0.191077858565809,0.387815733638256
fusion,13.5,0.160457680475184,0.443281841274939
fusion,13.6,0.170905998847604,0.547831772249289
fusion,13.7,0.210892883233824,0.521185549325058
fusion,13.8,0.104341763773758,0.378921007670465
fusion,13.9,0.121993646033002,-0.240885116353416
fusion,14,0.210756637225457,-0.345834735455059
fusion,14.1,0.229283901834427,-0.349408082525907
fusion,14.2,0.18936367769282,-0.340163601662145
fusion,14.3,0.143890461588205,-0.350225359404259
fusion,14.4,0.135563209766128,-0.311035855259693
fusion,14.5,0.130132616580433,-0.360980018395486
fusion,14.6,0.1443373025968,-0.317866238739625
fusion,14.7,0.142470590560255,0.409962331254225
fusion,14.8,0.139473513163813,0.852591159539716
fusion,14.9,0.0616419518018527,0.978839881966877
