dataset,frameIndex,split,semanticName,legacyCount,offlineCount,tp,fp,fn,precision,recall
mississippi,260,development,curb,797,797,797,0,0,1,1
mississippi,260,development,roadMarking,83,83,83,0,0,1,1
mississippi,260,development,pole,119,119,119,0,0,1,1
mississippi,300,development,curb,772,772,772,0,0,1,1
mississippi,300,development,roadMarking,26,26,26,0,0,1,1
mississippi,300,development,pole,380,379,379,0,1,1,0.997368421052632
mississippi,326,development,curb,835,835,835,0,0,1,1
mississippi,326,development,roadMarking,60,60,60,0,0,1,1
mississippi,326,development,pole,141,136,136,0,5,1,0.964539007092199
mississippi,370,development,curb,816,816,816,0,0,1,1
mississippi,370,development,roadMarking,64,64,64,0,0,1,1
mississippi,370,development,pole,0,0,0,0,0,NaN,NaN
mississippi,450,development,curb,850,850,850,0,0,1,1
mississippi,450,development,roadMarking,209,209,209,0,0,1,1
mississippi,450,development,pole,218,214,214,0,4,1,0.981651376146789
mississippi,550,development,curb,807,807,807,0,0,1,1
mississippi,550,development,roadMarking,113,113,113,0,0,1,1
mississippi,550,development,pole,0,0,0,0,0,NaN,NaN
mississippi,700,development,curb,745,745,745,0,0,1,1
mississippi,700,development,roadMarking,58,58,58,0,0,1,1
mississippi,700,development,pole,226,222,222,0,4,1,0.982300884955752
mississippi,850,development,curb,510,510,510,0,0,1,1
mississippi,850,development,roadMarking,302,302,302,0,0,1,1
mississippi,850,development,pole,62,61,61,0,1,1,0.983870967741935
mississippi,1000,development,curb,844,844,844,0,0,1,1
mississippi,1000,development,roadMarking,50,50,50,0,0,1,1
mississippi,1000,development,pole,102,97,97,0,5,1,0.950980392156863
mississippi,1150,development,curb,1080,1080,1080,0,0,1,1
mississippi,1150,development,roadMarking,31,31,31,0,0,1,1
mississippi,1150,development,pole,73,95,72,23,1,0.757894736842105,0.986301369863014
mississippi,150,diagnosticExpansion,curb,1083,1083,1083,0,0,1,1
mississippi,150,diagnosticExpansion,roadMarking,70,70,70,0,0,1,1
mississippi,150,diagnosticExpansion,pole,186,181,181,0,5,1,0.973118279569892
mississippi,600,diagnosticExpansion,curb,367,367,367,0,0,1,1
mississippi,600,diagnosticExpansion,roadMarking,201,201,201,0,0,1,1
mississippi,600,diagnosticExpansion,pole,65,64,64,0,1,1,0.984615384615385
mississippi,900,diagnosticExpansion,curb,840,840,840,0,0,1,1
mississippi,900,diagnosticExpansion,roadMarking,23,23,23,0,0,1,1
mississippi,900,diagnosticExpansion,pole,638,632,632,0,6,1,0.990595611285266
mississippi,1100,diagnosticExpansion,curb,752,752,752,0,0,1,1
mississippi,1100,diagnosticExpansion,roadMarking,45,45,45,0,0,1,1
mississippi,1100,diagnosticExpansion,pole,408,429,388,41,20,0.904428904428904,0.950980392156863
downtown,400,development,curb,103,103,103,0,0,1,1
downtown,400,development,roadMarking,24,24,24,0,0,1,1
downtown,400,development,pole,277,273,273,0,4,1,0.985559566787004
mississippi,200,finalValidation,curb,797,797,797,0,0,1,1
mississippi,200,finalValidation,roadMarking,106,106,106,0,0,1,1
mississippi,200,finalValidation,pole,126,120,120,0,6,1,0.952380952380952
mississippi,500,finalValidation,curb,417,417,417,0,0,1,1
mississippi,500,finalValidation,roadMarking,121,121,121,0,0,1,1
mississippi,500,finalValidation,pole,387,379,379,0,8,1,0.979328165374677
mississippi,800,finalValidation,curb,756,756,756,0,0,1,1
mississippi,800,finalValidation,roadMarking,0,0,0,0,0,NaN,NaN
mississippi,800,finalValidation,pole,33,33,33,0,0,1,1
mississippi,1050,finalValidation,curb,886,886,886,0,0,1,1
mississippi,1050,finalValidation,roadMarking,87,87,87,0,0,1,1
mississippi,1050,finalValidation,pole,92,92,92,0,0,1,1
