dataset,frameIndex,split,semanticName,legacyCount,offlineCount,tp,fp,fn,precision,recall
mississippi,260,development,curb,797,797,797,0,0,1,1
mississippi,260,development,roadMarking,83,83,83,0,0,1,1
mississippi,260,development,pole,119,119,119,0,0,1,1
mississippi,300,development,curb,772,772,772,0,0,1,1
mississippi,300,development,roadMarking,26,26,26,0,0,1,1
mississippi,300,development,pole,380,379,379,0,1,1,0.997368421052632
mississippi,326,development,curb,835,835,835,0,0,1,1
mississippi,326,development,roadMarking,60,60,60,0,0,1,1
mississippi,326,development,pole,141,136,136,0,5,1,0.964539007092199
mississippi,370,development,curb,816,816,816,0,0,1,1
mississippi,370,development,roadMarking,64,64,64,0,0,1,1
mississippi,370,development,pole,0,0,0,0,0,NaN,NaN
mississippi,450,development,curb,850,850,850,0,0,1,1
mississippi,450,development,roadMarking,209,209,209,0,0,1,1
mississippi,450,development,pole,218,214,214,0,4,1,0.981651376146789
mississippi,550,development,curb,807,807,807,0,0,1,1
mississippi,550,development,roadMarking,113,113,113,0,0,1,1
mississippi,550,development,pole,0,0,0,0,0,NaN,NaN
mississippi,700,development,curb,745,745,745,0,0,1,1
mississippi,700,development,roadMarking,58,58,58,0,0,1,1
mississippi,700,development,pole,226,222,222,0,4,1,0.982300884955752
mississippi,850,development,curb,510,510,510,0,0,1,1
mississippi,850,development,roadMarking,302,302,302,0,0,1,1
mississippi,850,development,pole,62,61,61,0,1,1,0.983870967741935
mississippi,1000,development,curb,844,844,844,0,0,1,1
mississippi,1000,development,roadMarking,50,50,50,0,0,1,1
mississippi,1000,development,pole,102,97,97,0,5,1,0.950980392156863
mississippi,1150,development,curb,1080,1080,1080,0,0,1,1
mississippi,1150,development,roadMarking,31,31,31,0,0,1,1
mississippi,1150,development,pole,73,72,72,0,1,1,0.986301369863014
mississippi,150,additionalFrames,curb,1083,1083,1083,0,0,1,1
mississippi,150,additionalFrames,roadMarking,70,70,70,0,0,1,1
mississippi,150,additionalFrames,pole,186,181,181,0,5,1,0.973118279569892
mississippi,600,additionalFrames,curb,367,367,367,0,0,1,1
mississippi,600,additionalFrames,roadMarking,201,201,201,0,0,1,1
mississippi,600,additionalFrames,pole,65,64,64,0,1,1,0.984615384615385
mississippi,900,additionalFrames,curb,840,840,840,0,0,1,1
mississippi,900,additionalFrames,roadMarking,23,23,23,0,0,1,1
mississippi,900,additionalFrames,pole,638,357,357,0,281,1,0.559561128526646
mississippi,1100,additionalFrames,curb,752,752,752,0,0,1,1
mississippi,1100,additionalFrames,roadMarking,45,45,45,0,0,1,1
mississippi,1100,additionalFrames,pole,408,360,360,0,48,1,0.882352941176471
downtown,400,development,curb,103,103,103,0,0,1,1
downtown,400,development,roadMarking,24,24,24,0,0,1,1
downtown,400,development,pole,277,247,247,0,30,1,0.891696750902527
