experiment,frameIndex,batchIndex,initialTranslationOffset,initialYawOffsetDegrees,accepted,reason,initialSimilarity,similarity,mapPoseTranslationDifference,mapPoseYawDifferenceDegrees,perceptionSeconds,registrationSeconds
savedMapSameTrajectory,260,13,0,0,1,accepted,0.392742653759086,0.409772707410427,0.253632175424595,1.17649457174495,0.255396,0.037536
savedMapSameTrajectory,260,13,0.640312423743285,2,1,accepted,0.119427563133712,0.409772707410427,0.253632175424595,1.17649457174359,0.106738,0.010644
savedMapSameTrajectory,260,13,0.640312423743285,-2,1,accepted,0.127202284346268,0.409772707410427,0.253632175424595,1.17649457178598,0.109202,0.010452
savedMapSameTrajectory,300,15,0,0,0,searchBoundary,0.237249979885387,0.25437904249911,3.11010341285603,2.1479175483617,0.128118,0.020286
savedMapSameTrajectory,300,15,0.640312423743285,2,0,searchBoundary,0.0053011765964456,0.252968000466402,2.70353509262861,2.08024136684491,0.104145,0.016686
savedMapSameTrajectory,300,15,0.640312423743285,-2,0,searchBoundary,0.0924485336307124,0.255746641667357,3.51714100142642,2.21590285513722,0.104372,0.015839
savedMapSameTrajectory,326,16,0,0,1,accepted,0.381109989461173,0.394705150667954,2.94245010862627,0.810929775865854,0.113103,0.023591
savedMapSameTrajectory,326,16,0.640312423743285,2,0,searchBoundary,0.0294311359950032,0.394557226974716,2.6318898742997,0.787127844442194,0.113161,0.05778
savedMapSameTrajectory,326,16,0.640312423743285,-2,1,accepted,0.0818382654692969,0.394705150669401,2.94247673629922,0.81093546453811,0.108387,0.025386
savedMapSameTrajectory,150,7,0,0,0,searchBoundary,0.239781001887633,0.321328654614006,3.22014927614763,1.9998888042585,0.123139,0.02521
savedMapSameTrajectory,150,7,0.640312423743285,2,0,searchBoundary,0.0652098027789522,0.314795269152185,2.82373283378916,2.18363847132826,0.11909,0.024676
savedMapSameTrajectory,150,7,0.640312423743285,-2,0,searchBoundary,0.110024993668972,0.329535643164383,3.60326959612038,1.54840041106372,0.120143,0.02437
savedMapSameTrajectory,600,30,0,0,1,accepted,0.164298486134305,0.172502447710843,0.732983695766724,3.51883456322678,0.118501,0.00898
savedMapSameTrajectory,600,30,0.640312423743285,2,1,accepted,0.0331411221240439,0.172502447710844,0.732983695708585,3.5188345629834,0.110328,0.009058
savedMapSameTrajectory,600,30,0.640312423743285,-2,1,accepted,0.0766568956367154,0.172502447710844,0.732983695327668,3.51883456174559,0.111049,0.009663
savedMapSameTrajectory,900,45,0,0,0,searchBoundary,0.303351935727256,0.333249210304346,3.01483211397015,0.58956936996647,0.125877,0.018315
savedMapSameTrajectory,900,45,0.640312423743285,2,0,searchBoundary,0.261331310098139,0.336775039632888,3.51702034039836,0.650293301462014,0.119351,0.017233
savedMapSameTrajectory,900,45,0.640312423743285,-2,0,searchBoundary,0.262593841464367,0.328997760652233,2.51250199663219,0.538007662844818,0.132673,0.020528
savedMapSameTrajectory,1100,55,0,0,1,accepted,0.271383264656454,0.291331529925475,2.96971064614243,0.0574303885501547,0.133083,0.012995
savedMapSameTrajectory,1100,55,0.640312423743285,2,1,accepted,0.201761760003287,0.291004594808666,2.43086972925438,0.194709300089085,0.126832,0.016698
savedMapSameTrajectory,1100,55,0.640312423743285,-2,1,accepted,0.244910158429597,0.291331529927292,2.9697088764409,0.0574318674867098,0.12445,0.014559
newMapQueryFrameExcluded,260,1,0.640312423743285,2,0,searchBoundary,0.100748633344702,0.619619853773344,3.50547931757861,0.246295619540848,0.107264,0.013704
