experiment,frameIndex,batchIndex,initialTranslationOffset,initialYawOffsetDegrees,accepted,reason,initialSimilarity,similarity,mapPoseTranslationDifference,mapPoseYawDifferenceDegrees,perceptionSeconds,registrationSeconds
savedMapSameTrajectory,260,13,0,0,1,accepted,0.384998398834498,0.469643375291483,0.215731575702744,0.557945824825466,0.113091,0.029013
savedMapSameTrajectory,260,13,0.640312423743285,2,1,accepted,0.05670272216872,0.46964337528408,0.215728208352708,0.557905180906504,0.120157,0.021464
savedMapSameTrajectory,260,13,0.640312423743285,-2,1,accepted,0.0604214272239546,0.469643375290806,0.215729638897186,0.557925956295383,0.109109,0.018134
savedMapSameTrajectory,300,15,0,0,1,accepted,0.252495083666547,0.286166838072172,0.103793855630294,0.715900721090182,0.105785,0.015579
savedMapSameTrajectory,300,15,0.640312423743285,2,1,accepted,0.00301473077280753,0.286166838072172,0.103793855579626,0.715900721089343,0.106136,0.020862
savedMapSameTrajectory,300,15,0.640312423743285,-2,1,accepted,0.0527616090223724,0.286166838072172,0.103793855579626,0.715900721089139,0.109873,0.018727
savedMapSameTrajectory,326,16,0,0,1,accepted,0.414261415483527,0.425016426633502,0.0584044377760006,0.214900830524451,0.104357,0.020545
savedMapSameTrajectory,326,16,0.640312423743285,2,1,accepted,0.0137759603883211,0.425016426633847,0.0584049041658256,0.214898940062899,0.10711,0.02269
savedMapSameTrajectory,326,16,0.640312423743285,-2,1,accepted,0.0383506283390219,0.425016426633994,0.058404898735263,0.214900840963833,0.114134,0.022061
savedMapSameTrajectory,150,7,0,0,1,accepted,0.217657656674964,0.332059153027108,0.288211343918691,0.868967078416419,0.117189,0.019476
savedMapSameTrajectory,150,7,0.640312423743285,2,1,accepted,0.033285422466839,0.332059153027578,0.288211357033934,0.868969291813911,0.117167,0.018498
savedMapSameTrajectory,150,7,0.640312423743285,-2,1,accepted,0.0667480968534412,0.332059153026755,0.288211861385408,0.868970575678586,0.130793,0.019446
savedMapSameTrajectory,600,30,0,0,1,accepted,0.189221537073816,0.265594884462872,0.300177135750606,2.02667013741939,0.115163,0.023504
savedMapSameTrajectory,600,30,0.640312423743285,2,1,accepted,0.0296641847991906,0.26559488446262,0.300178410154542,2.02667883637565,0.112904,0.020212
savedMapSameTrajectory,600,30,0.640312423743285,-2,1,accepted,0.0650744004326942,0.26559488446249,0.300177612704266,2.02667069890411,0.114308,0.020558
savedMapSameTrajectory,900,45,0,0,1,accepted,0.385525114194413,0.39047223578334,0.00204671959020639,0.158208809476122,0.120429,0.014492
savedMapSameTrajectory,900,45,0.640312423743285,2,1,accepted,0.229540733692165,0.390472235783278,0.00204682090964602,0.158208991986563,0.12435,0.018596
savedMapSameTrajectory,900,45,0.640312423743285,-2,1,accepted,0.221524382322076,0.390472235783278,0.00204682090964602,0.158208991986568,0.117642,0.014693
savedMapSameTrajectory,1100,55,0,0,1,accepted,0.294984055432649,0.349927524484312,0.149450868301414,0.299326163451772,0.125745,0.012616
savedMapSameTrajectory,1100,55,0.640312423743285,2,1,accepted,0.175605500019316,0.349927524484312,0.149450868356052,0.299326163452333,0.126355,0.019746
savedMapSameTrajectory,1100,55,0.640312423743285,-2,1,accepted,0.242847098064341,0.349927524484312,0.149450868301414,0.299326163451296,0.127971,0.016538
newMapQueryFrameExcluded,260,1,0.640312423743285,2,1,accepted,0.0429038991484117,0.446381928258773,0.182359687988688,-0.671481349993173,0.104755,0.017417
