dataset,frameIndex,legacySeconds,coarseSeconds,offlineSeconds,legacyBytes,coarseBytes,offlineBytes,numComponents
mississippi,260,0.152155,0.115509,0.117575,201912758,32562,328880,82
mississippi,300,0.14702,0.105683,0.114062,202813227,28688,324666,64
mississippi,326,0.132486,0.110428,0.114021,146004840,36089,334056,99
mississippi,370,0.125633,0.109446,0.114731,138996961,33367,334921,85
mississippi,450,0.111873,0.094779,0.101542,120809710,39925,349656,115
mississippi,550,0.147194,0.125761,0.132765,151655350,33944,330398,88
mississippi,700,0.157223,0.128124,0.13447,156288345,33179,331197,85
mississippi,850,0.155498,0.129096,0.137936,165848044,42290,341328,126
mississippi,1000,0.161563,0.127822,0.124557,216447472,33139,329984,85
mississippi,1150,0.158411,0.127379,0.13805,164170044,35373,343523,95
mississippi,150,0.167607,0.128487,0.132431,217794698,36986,347754,102
mississippi,600,0.141657,0.112678,0.120333,174370812,34605,325857,91
mississippi,900,0.15549,0.123245,0.133349,180053458,34675,340377,93
mississippi,1100,0.180725,0.13048,0.1368,208091330,36129,339638,99
downtown,400,0.153793,0.098718,0.102555,202854284,24407,308740,45
mississippi,200,0.139709,0.10969,0.116678,181326102,34051,329723,89
mississippi,500,0.144924,0.104899,0.110905,202637016,28895,323972,65
mississippi,800,0.149439,0.126366,0.130037,148510715,27402,321442,58
mississippi,1050,0.148466,0.126275,0.130632,168304867,32093,335755,79
