dataset,frameIndex,repeat,baselineMs,restoredMs
Missisipi,100,1,231.257,73.801
Missisipi,100,2,121.818,74.533
Missisipi,100,3,77.536,71.938
Missisipi,100,4,80.957,74.738
Missisipi,100,5,82.389,83.482
Missisipi,100,6,87.247,77.472
Missisipi,100,7,81.272,79.06
Missisipi,100,8,76.853,75.39
Missisipi,100,9,85.906,76.073
Missisipi,100,10,77.79,76.518
Missisipi,100,11,66.698,69.691
Missisipi,200,1,67.118,67.479
Missisipi,200,2,70.583,72.921
Missisipi,200,3,67.342,66.615
Missisipi,200,4,66.39,70.315
Missisipi,200,5,63.836,66.402
Missisipi,200,6,67.079,69.043
Missisipi,200,7,65.487,75.489
Missisipi,200,8,64.865,68.522
Missisipi,200,9,73.8,66.46
Missisipi,200,10,65.254,67.021
Missisipi,200,11,62.856,65.799
Missisipi,300,1,61.052,59.524
Missisipi,300,2,55.801,55.734
Missisipi,300,3,56.989,57.25
Missisipi,300,4,56.19,55.982
Missisipi,300,5,53.671,62.729
Missisipi,300,6,52.04,61.738
Missisipi,300,7,55.513,57.23
Missisipi,300,8,56.516,60.748
Missisipi,300,9,55.028,62.867
Missisipi,300,10,58.4,56.146
Missisipi,300,11,56.44,55.557
Missisipi,400,1,54.623,54.123
Missisipi,400,2,55.858,57.067
Missisipi,400,3,57.054,52.408
Missisipi,400,4,49.188,53.659
Missisipi,400,5,48.828,59.973
Missisipi,400,6,51.235,56.715
Missisipi,400,7,53.43,55.275
Missisipi,400,8,67.981,53.275
Missisipi,400,9,54.023,52.84
Missisipi,400,10,50.609,52.618
Missisipi,400,11,55.008,54.274
Missisipi,500,1,59.786,67.811
Missisipi,500,2,59.783,68.715
Missisipi,500,3,60.764,67.074
Missisipi,500,4,59.672,70.112
Missisipi,500,5,60.863,65.126
Missisipi,500,6,59.319,63.174
Missisipi,500,7,60.784,63.05
Missisipi,500,8,58.707,61.085
Missisipi,500,9,59.094,63.216
Missisipi,500,10,58.848,64.262
Missisipi,500,11,66.822,64.194
downTown,100,1,56.352,64.494
downTown,100,2,52.489,65.713
downTown,100,3,53.766,65.164
downTown,100,4,53.622,61.019
downTown,100,5,61.515,60.609
downTown,100,6,54.366,60.558
downTown,100,7,55.644,61.314
downTown,100,8,56.396,63.354
downTown,100,9,55.595,80.577
downTown,100,10,55.485,67.221
downTown,100,11,54.804,64.137
downTown,200,1,59.925,58.769
downTown,200,2,54.744,56.727
downTown,200,3,52.714,54.829
downTown,200,4,51.043,58.105
downTown,200,5,50.863,56.667
downTown,200,6,51.066,55.975
downTown,200,7,53.516,59.621
downTown,200,8,56.792,61.096
downTown,200,9,54.859,58.646
downTown,200,10,51.262,55.877
downTown,200,11,53.316,55.766
downTown,300,1,57.979,55.007
downTown,300,2,58.07,51.813
downTown,300,3,53.461,53.746
downTown,300,4,47.88,58.621
downTown,300,5,49.915,54.166
downTown,300,6,47.721,57.587
downTown,300,7,49.327,53.894
downTown,300,8,50.689,54.516
downTown,300,9,49.824,54.032
downTown,300,10,47.979,54.067
downTown,300,11,50.46,56.264
downTown,400,1,59.91,64.078
downTown,400,2,63.553,63.47
downTown,400,3,58.303,66.537
downTown,400,4,59.279,70.97
downTown,400,5,62.699,63.147
downTown,400,6,58.954,63.954
downTown,400,7,61.327,66.063
downTown,400,8,57.963,64.532
downTown,400,9,59.587,66.533
downTown,400,10,61.311,66.935
downTown,400,11,59.113,66.771
downTown,500,1,55.181,56.353
downTown,500,2,53.631,54.459
downTown,500,3,54.014,54.375
downTown,500,4,48.723,53.497
downTown,500,5,48.256,54.342
downTown,500,6,47.906,52.641
downTown,500,7,47.211,52.748
downTown,500,8,53.139,53.514
downTown,500,9,52.613,55.494
downTown,500,10,49.402,53.937
downTown,500,11,48.186,56.517
