dataset,frameIndex,feature,legacyPoints,candidatePoints,finePoints,candidateLegacyIntersection,fineLegacyIntersection,changedFromPreviousModernPoints,gaussians
Missisipi,100,curb,553,1186,553,553,553,0,62
Missisipi,100,roadMarking,29,76,29,29,29,0,9
Missisipi,100,pole,438,493,432,438,432,0,10
Missisipi,100,facade,0,0,0,0,0,NaN,0
Missisipi,100,trafficSign,167,440,167,167,167,NaN,18
Missisipi,200,curb,797,1400,797,797,797,0,74
Missisipi,200,roadMarking,106,254,106,106,106,0,14
Missisipi,200,pole,126,126,120,126,120,0,1
Missisipi,200,facade,0,0,0,0,0,NaN,0
Missisipi,200,trafficSign,13,23,13,13,13,NaN,3
Missisipi,300,curb,772,1293,772,772,772,0,50
Missisipi,300,roadMarking,26,125,26,26,26,0,12
Missisipi,300,pole,380,380,379,380,379,0,2
Missisipi,300,facade,0,0,0,0,0,NaN,0
Missisipi,300,trafficSign,19,28,19,19,19,NaN,2
Missisipi,400,curb,709,1601,709,709,709,0,72
Missisipi,400,roadMarking,99,214,99,99,99,0,17
Missisipi,400,pole,126,168,124,126,124,0,4
Missisipi,400,facade,0,0,0,0,0,NaN,0
Missisipi,400,trafficSign,11,19,11,11,11,NaN,5
Missisipi,500,curb,417,1009,417,417,417,0,51
Missisipi,500,roadMarking,121,309,121,121,121,0,10
Missisipi,500,pole,387,427,379,387,379,0,4
Missisipi,500,facade,0,0,0,0,0,NaN,0
Missisipi,500,trafficSign,523,722,523,523,523,NaN,16
downTown,100,curb,580,1315,580,580,580,0,111
downTown,100,roadMarking,0,0,0,0,0,0,0
downTown,100,pole,383,597,270,253,251,126,15
downTown,100,facade,2417,5563,4673,2417,2298,NaN,84
downTown,100,trafficSign,138,731,138,138,138,NaN,17
downTown,200,curb,454,1475,454,454,454,0,77
downTown,200,roadMarking,0,0,0,0,0,0,0
downTown,200,pole,587,858,557,540,539,63,14
downTown,200,facade,3763,8432,5994,3763,2988,NaN,57
downTown,200,trafficSign,62,178,62,62,62,NaN,9
downTown,300,curb,452,915,452,452,452,0,59
downTown,300,roadMarking,1,6,1,1,1,0,1
downTown,300,pole,205,391,204,205,204,0,8
downTown,300,facade,1993,8370,7098,1993,1770,NaN,64
downTown,300,trafficSign,37,92,37,37,37,NaN,7
downTown,400,curb,103,580,103,103,103,0,23
downTown,400,roadMarking,24,89,24,24,24,0,9
downTown,400,pole,277,419,273,277,273,0,12
downTown,400,facade,93,1821,1452,93,90,NaN,31
downTown,400,trafficSign,61,173,61,61,61,NaN,17
downTown,500,curb,0,0,0,0,0,0,0
downTown,500,roadMarking,108,154,108,108,108,0,14
downTown,500,pole,308,552,308,308,308,0,8
downTown,500,facade,2121,4081,3416,2121,1623,NaN,35
downTown,500,trafficSign,155,592,155,155,155,NaN,18
