dataset,frameIndex,feature,shared,added,removed
Mississippi,75,curb,47,0,0
Mississippi,75,roadMarking,0,0,0
Mississippi,75,pole,8,11,4
Mississippi,75,trafficSign,37,0,0
Mississippi,150,curb,308,0,0
Mississippi,150,roadMarking,39,0,0
Mississippi,150,pole,8,3,8
Mississippi,150,trafficSign,9,0,0
Mississippi,200,curb,250,0,0
Mississippi,200,roadMarking,39,0,0
Mississippi,200,pole,1,5,1
Mississippi,200,trafficSign,3,0,0
Mississippi,225,curb,201,0,0
Mississippi,225,roadMarking,30,0,0
Mississippi,225,pole,4,3,7
Mississippi,225,trafficSign,8,0,0
Mississippi,260,curb,246,0,0
Mississippi,260,roadMarking,29,0,0
Mississippi,260,pole,1,1,0
Mississippi,260,trafficSign,8,0,0
Mississippi,300,curb,201,0,0
Mississippi,300,roadMarking,20,0,0
Mississippi,300,pole,2,2,0
Mississippi,300,trafficSign,3,0,0
Mississippi,326,curb,264,0,0
Mississippi,326,roadMarking,26,0,0
Mississippi,326,pole,2,6,1
Mississippi,326,trafficSign,2,0,0
Mississippi,370,curb,289,0,0
Mississippi,370,roadMarking,33,0,0
Mississippi,370,pole,0,11,3
Mississippi,370,trafficSign,5,0,0
Mississippi,450,curb,304,0,0
Mississippi,450,roadMarking,96,0,0
Mississippi,450,pole,2,4,0
Mississippi,450,trafficSign,4,0,0
Mississippi,475,curb,248,0,0
Mississippi,475,roadMarking,25,0,0
Mississippi,475,pole,2,0,1
Mississippi,475,trafficSign,14,0,0
Mississippi,500,curb,193,0,0
Mississippi,500,roadMarking,30,0,0
Mississippi,500,pole,5,9,0
Mississippi,500,trafficSign,30,0,0
Mississippi,550,curb,260,0,0
Mississippi,550,roadMarking,45,0,0
Mississippi,550,pole,0,10,2
Mississippi,550,trafficSign,15,0,0
Mississippi,600,curb,139,0,0
Mississippi,600,roadMarking,110,0,0
Mississippi,600,pole,1,0,4
Mississippi,600,trafficSign,3,0,0
Mississippi,700,curb,208,0,0
Mississippi,700,roadMarking,41,0,0
Mississippi,700,pole,6,7,3
Mississippi,700,trafficSign,2,0,0
Mississippi,775,curb,255,0,0
Mississippi,775,roadMarking,0,0,0
Mississippi,775,pole,3,3,6
Mississippi,775,trafficSign,3,0,0
Mississippi,800,curb,229,0,0
Mississippi,800,roadMarking,0,0,0
Mississippi,800,pole,1,11,0
Mississippi,800,trafficSign,9,0,0
Mississippi,850,curb,260,0,0
Mississippi,850,roadMarking,134,0,0
Mississippi,850,pole,0,7,5
Mississippi,850,trafficSign,15,0,0
Mississippi,900,curb,215,0,0
Mississippi,900,roadMarking,20,0,0
Mississippi,900,pole,13,11,2
Mississippi,900,trafficSign,2,0,0
Mississippi,1000,curb,241,0,0
Mississippi,1000,roadMarking,29,0,0
Mississippi,1000,pole,4,6,0
Mississippi,1000,trafficSign,5,0,0
Mississippi,1050,curb,267,0,0
Mississippi,1050,roadMarking,43,0,0
Mississippi,1050,pole,4,3,3
Mississippi,1050,trafficSign,0,0,0
Mississippi,1100,curb,266,0,0
Mississippi,1100,roadMarking,22,0,0
Mississippi,1100,pole,12,15,7
Mississippi,1100,trafficSign,2,0,0
Mississippi,1125,curb,271,0,0
Mississippi,1125,roadMarking,22,0,0
Mississippi,1125,pole,3,15,3
Mississippi,1125,trafficSign,10,0,0
Mississippi,1150,curb,295,0,0
Mississippi,1150,roadMarking,18,0,0
Mississippi,1150,pole,3,13,9
Mississippi,1150,trafficSign,5,0,0
Downtown,100,curb,324,0,0
Downtown,100,roadMarking,0,0,0
Downtown,100,pole,11,22,9
Downtown,100,facade,145,101,125
Downtown,100,trafficSign,35,0,0
Downtown,200,curb,277,0,0
Downtown,200,roadMarking,0,0,0
Downtown,200,pole,4,17,14
Downtown,200,facade,100,74,85
Downtown,200,trafficSign,12,0,0
Downtown,300,curb,178,0,0
Downtown,300,roadMarking,1,0,0
Downtown,300,pole,4,20,7
Downtown,300,facade,154,114,129
Downtown,300,trafficSign,13,0,0
Downtown,400,curb,95,0,0
Downtown,400,roadMarking,14,0,0
Downtown,400,pole,9,18,4
Downtown,400,facade,87,172,30
Downtown,400,trafficSign,26,0,0
Downtown,500,curb,0,0,0
Downtown,500,roadMarking,36,0,0
Downtown,500,pole,5,13,10
Downtown,500,facade,102,37,36
Downtown,500,trafficSign,39,0,0
