dataset,frameIndex,feature,shared,added,removed
Mississippi,75,curb,51,0,0
Mississippi,75,roadMarking,0,0,0
Mississippi,75,pole,201,0,0
Mississippi,75,trafficSign,220,0,0
Mississippi,150,curb,1083,0,0
Mississippi,150,roadMarking,70,0,0
Mississippi,150,pole,181,0,0
Mississippi,150,trafficSign,18,0,0
Mississippi,200,curb,797,0,0
Mississippi,200,roadMarking,106,0,0
Mississippi,200,pole,120,0,0
Mississippi,200,trafficSign,13,0,0
Mississippi,225,curb,523,0,0
Mississippi,225,roadMarking,54,0,0
Mississippi,225,pole,70,0,0
Mississippi,225,trafficSign,30,0,0
Mississippi,260,curb,797,0,0
Mississippi,260,roadMarking,83,0,0
Mississippi,260,pole,119,0,0
Mississippi,260,trafficSign,52,0,0
Mississippi,300,curb,772,0,0
Mississippi,300,roadMarking,26,0,0
Mississippi,300,pole,379,0,0
Mississippi,300,trafficSign,19,0,0
Mississippi,326,curb,835,0,0
Mississippi,326,roadMarking,60,0,0
Mississippi,326,pole,136,0,0
Mississippi,326,trafficSign,2,0,0
Mississippi,370,curb,816,0,0
Mississippi,370,roadMarking,64,0,0
Mississippi,370,pole,0,0,0
Mississippi,370,trafficSign,35,0,0
Mississippi,450,curb,850,0,0
Mississippi,450,roadMarking,209,0,0
Mississippi,450,pole,214,0,0
Mississippi,450,trafficSign,21,0,0
Mississippi,475,curb,841,0,0
Mississippi,475,roadMarking,41,0,0
Mississippi,475,pole,299,0,0
Mississippi,475,trafficSign,24,0,0
Mississippi,500,curb,417,0,0
Mississippi,500,roadMarking,121,0,0
Mississippi,500,pole,379,0,0
Mississippi,500,trafficSign,523,0,0
Mississippi,550,curb,807,0,0
Mississippi,550,roadMarking,113,0,0
Mississippi,550,pole,0,0,0
Mississippi,550,trafficSign,140,0,0
Mississippi,600,curb,367,0,0
Mississippi,600,roadMarking,201,0,0
Mississippi,600,pole,64,0,0
Mississippi,600,trafficSign,5,0,0
Mississippi,700,curb,745,0,0
Mississippi,700,roadMarking,58,0,0
Mississippi,700,pole,222,0,0
Mississippi,700,trafficSign,3,0,0
Mississippi,775,curb,777,0,0
Mississippi,775,roadMarking,0,0,0
Mississippi,775,pole,427,0,0
Mississippi,775,trafficSign,7,0,0
Mississippi,800,curb,756,0,0
Mississippi,800,roadMarking,0,0,0
Mississippi,800,pole,33,0,0
Mississippi,800,trafficSign,69,0,0
Mississippi,850,curb,510,0,0
Mississippi,850,roadMarking,302,0,0
Mississippi,850,pole,61,0,0
Mississippi,850,trafficSign,69,0,0
Mississippi,900,curb,840,0,0
Mississippi,900,roadMarking,23,0,0
Mississippi,900,pole,632,0,0
Mississippi,900,trafficSign,4,0,0
Mississippi,1000,curb,844,0,0
Mississippi,1000,roadMarking,50,0,0
Mississippi,1000,pole,97,0,0
Mississippi,1000,trafficSign,12,0,0
Mississippi,1050,curb,886,0,0
Mississippi,1050,roadMarking,87,0,0
Mississippi,1050,pole,92,0,0
Mississippi,1050,trafficSign,0,0,0
Mississippi,1100,curb,752,0,0
Mississippi,1100,roadMarking,45,0,0
Mississippi,1100,pole,429,0,0
Mississippi,1100,trafficSign,3,0,0
Mississippi,1125,curb,948,0,0
Mississippi,1125,roadMarking,34,0,0
Mississippi,1125,pole,62,0,0
Mississippi,1125,trafficSign,97,0,0
Mississippi,1150,curb,1080,0,0
Mississippi,1150,roadMarking,31,0,0
Mississippi,1150,pole,95,0,0
Mississippi,1150,trafficSign,7,0,0
Downtown,100,curb,580,0,0
Downtown,100,roadMarking,0,0,0
Downtown,100,pole,270,0,0
Downtown,100,facade,4673,0,0
Downtown,100,trafficSign,138,0,0
Downtown,200,curb,454,0,0
Downtown,200,roadMarking,0,0,0
Downtown,200,pole,557,0,0
Downtown,200,facade,5994,0,0
Downtown,200,trafficSign,62,0,0
Downtown,300,curb,452,0,0
Downtown,300,roadMarking,1,0,0
Downtown,300,pole,204,0,0
Downtown,300,facade,7098,0,0
Downtown,300,trafficSign,37,0,0
Downtown,400,curb,103,0,0
Downtown,400,roadMarking,24,0,0
Downtown,400,pole,273,0,0
Downtown,400,facade,1452,0,0
Downtown,400,trafficSign,61,0,0
Downtown,500,curb,0,0,0
Downtown,500,roadMarking,108,0,0
Downtown,500,pole,308,0,0
Downtown,500,facade,3416,0,0
Downtown,500,trafficSign,155,0,0
