dataset,frameIndex,baselineMedianSeconds,pillarMedianSeconds,pillarMaximumSeconds
Mississippi,75,0.086511,0.072918,0.073951
Mississippi,150,0.058084,0.065687,0.071476
Mississippi,200,0.066124,0.070025,0.071551
Mississippi,225,0.059319,0.064786,0.068512
Mississippi,260,0.059997,0.062767,0.065473
Mississippi,300,0.060639,0.056959,0.063426
Mississippi,326,0.063845,0.064144,0.06771
Mississippi,370,0.055896,0.064556,0.066222
Mississippi,450,0.046642,0.05508,0.05652
Mississippi,475,0.048955,0.05745,0.060427
Mississippi,500,0.065396,0.063605,0.065149
Mississippi,550,0.065511,0.072839,0.078489
Mississippi,600,0.055277,0.064461,0.067573
Mississippi,700,0.058851,0.068288,0.075136
Mississippi,775,0.065342,0.074958,0.077503
Mississippi,800,0.067627,0.077633,0.079791
Mississippi,850,0.064521,0.073837,0.075156
Mississippi,900,0.066373,0.075384,0.078993
Mississippi,1000,0.055609,0.066051,0.068833
Mississippi,1050,0.071196,0.070299,0.072761
Mississippi,1100,0.065417,0.074752,0.079402
Mississippi,1125,0.065853,0.078742,0.08034
Mississippi,1150,0.06314,0.075416,0.079224
Downtown,100,0.061206,0.063226,0.065511
Downtown,200,0.054381,0.060722,0.063642
Downtown,300,0.046922,0.058515,0.060197
Downtown,400,0.061735,0.074159,0.075034
Downtown,500,0.049177,0.056155,0.058421
