variant,frame,source,target,graphInfluence
baseline,950,65,1298,NaN
baseline,951,65,1298,NaN
baseline,952,65,1298,NaN
baseline,953,69,1298,NaN
baseline,954,49,1298,NaN
baseline,955,45,1298,NaN
baseline,956,41,1298,NaN
baseline,957,38,1298,NaN
baseline,958,36,1298,NaN
baseline,959,43,1298,NaN
guided,950,65,1298,NaN
guided,951,65,1298,NaN
guided,952,65,1298,NaN
guided,953,69,1298,NaN
guided,954,49,1298,NaN
guided,955,45,1298,NaN
guided,956,41,1298,NaN
guided,957,38,1298,NaN
guided,958,36,1298,NaN
guided,959,43,1298,NaN
switchable,950,56,1298,0.980336580293028
switchable,951,45,1298,0.990428894031504
switchable,952,45,1298,0.99450520540041
switchable,953,49,1298,0.949527987067014
switchable,954,39,1298,0.987530366231748
switchable,955,40,1298,0.983985264694196
switchable,956,42,1298,0.993435311958501
switchable,957,33,1298,0.98698943725462
switchable,958,42,1298,0.981512897917673
switchable,959,32,1298,0.997275912118843
quadratic,950,56,1298,1
quadratic,951,45,1298,1
quadratic,952,45,1298,1
quadratic,953,49,1298,1
quadratic,954,39,1298,1
quadratic,955,40,1298,1
quadratic,956,42,1298,1
quadratic,957,33,1298,1
quadratic,958,42,1298,1
quadratic,959,32,1298,1
