frame,time,mode,fullPose,directionalPose,measurementType,reason,mappingErrorM,pvaErrorM,yawErrorDeg,candidateMappingErrorM,sourceComponents,registrationSeconds
1,0,per_frame_positive,1,0,fullPose,accepted,0.0333851310178528,0.0333719206485429,-0.0401768418738745,0.0333851310178528,21,0.025674
1,0,per_frame_negative,1,0,fullPose,accepted,0.0333851709784343,0.0333719641255618,-0.0401774599559002,0.0333851709784343,21,0.025511
1,0,per_frame_zero,1,0,fullPose,accepted,0.0333814467211344,0.0333682361852961,-0.0401692953259055,0.0333814467211344,21,0.020921
1,0,lidar_only_recursive,1,0,fullPose,accepted,0.0333851310178528,0.0333719206485429,-0.0401768418738745,0.0333851310178528,21,0.022799
2,0.0997334406846495,per_frame_positive,1,0,fullPose,accepted,0.0364317684721773,0.0364075549705343,-0.0398993125403662,0.0364317684721773,25,0.02187
2,0.0997334406846495,per_frame_negative,1,0,fullPose,accepted,0.0364353208775677,0.0364111371342924,-0.0399222211117997,0.0364353208775677,25,0.021654
2,0.0997334406846495,per_frame_zero,1,0,fullPose,accepted,0.036426876371999,0.0364026275629444,-0.0398718229458237,0.036426876371999,25,0.019159
2,0.0997334406846495,lidar_only_recursive,1,0,fullPose,accepted,0.0364314127360344,0.0364072031340285,-0.0398992812255916,0.0364314127360344,25,0.019008
3,0.200060373387542,per_frame_positive,1,0,fullPose,accepted,0.0210075555168597,0.0209187759728143,-0.0182210669742248,0.0210075555168597,23,0.022517
3,0.200060373387542,per_frame_negative,1,0,fullPose,accepted,0.0210078336268759,0.0209190703505723,-0.0182227394765629,0.0210078336268759,23,0.023889
3,0.200060373387542,per_frame_zero,1,0,fullPose,accepted,0.0210039401869083,0.0209151169472135,-0.0182112652076246,0.0210039401869083,23,0.021433
3,0.200060373387542,lidar_only_recursive,1,0,fullPose,accepted,0.0210115037100744,0.0209228413558915,-0.018236730293619,0.0210115037100744,23,0.021603
4,0.299495001150299,per_frame_positive,1,0,fullPose,accepted,0.036821059094607,0.0368322514724498,-0.0883344202775004,0.036821059094607,22,0.022727
4,0.299495001150299,per_frame_negative,1,0,fullPose,accepted,0.0368247962606406,0.0368360323378312,-0.0883554382366491,0.0368247962606406,22,0.023123
4,0.299495001150299,per_frame_zero,1,0,fullPose,accepted,0.0368189825971451,0.0368301875868067,-0.0883228387835145,0.0368189825971451,22,0.020519
4,0.299495001150299,lidar_only_recursive,1,0,fullPose,accepted,0.0368192700866602,0.0368304631428662,-0.0883241491476166,0.0368192700866602,22,0.020362
5,0.399469478792207,per_frame_positive,1,0,fullPose,accepted,0.029235701572804,0.0292422984824618,-0.0523114792449108,0.029235701572804,23,0.022147
5,0.399469478792207,per_frame_negative,1,0,fullPose,accepted,0.029239879099456,0.0292465383077669,-0.052327548562339,0.029239879099456,23,0.022808
5,0.399469478792207,per_frame_zero,1,0,fullPose,accepted,0.0292302582635824,0.029236848785769,-0.0522908849924631,0.0292302582635824,23,0.020288
5,0.399469478792207,lidar_only_recursive,1,0,fullPose,accepted,0.029239126403891,0.0292457745974076,-0.0523246411343049,0.029239126403891,23,0.021523
6,0.498996376479702,per_frame_positive,1,0,fullPose,accepted,0.0379166179817709,0.0379000464567886,-0.0461175758251118,0.0379166179817709,28,0.025127
6,0.498996376479702,per_frame_negative,1,0,fullPose,accepted,0.0379230354627256,0.0379065546240155,-0.0461613999679392,0.0379230354627256,28,0.023777
6,0.498996376479702,per_frame_zero,1,0,fullPose,accepted,0.037916459660877,0.0378998902910735,-0.0461178971619455,0.037916459660877,28,0.022147
6,0.498996376479702,lidar_only_recursive,1,0,fullPose,accepted,0.0379138797793297,0.0378973169295955,-0.0461138317178188,0.0379138797793297,28,0.02066
