name,seed,finite,positionRmseM,headingRmseDeg,velocityRmseMps,accelerationRmseMps2,fullPositionPeakM,fullHeadingPeakDeg,fullVelocityPeakMps,fullAccelerationPeakMps2,post10PositionPeakM,post10HeadingPeakDeg,tailPositionRmseM,tailHeadingRmseDeg,tailVelocityRmseMps,tailAccelerationRmseMps2,positionRmseLimitM,headingRmseLimitDeg,velocityRmseLimitMps,accelerationRmseLimitMps2,settlingToPoint1MAnd1DegS,maximumModelDisturbanceMps3,acceptedPoses,rejectedPoses,outsideEnvelopeSamples,trackingPass,runtimeSeconds
straight_ideal,20260913,1,0.000964414736793041,2.50270319445673e-05,0.00500760656134026,0.034202046932659,2.5,15,10.9957002709265,1.7259578243412,0.00350813642217266,9.79874331349322e-05,5.75443386283357e-05,1.57919563077333e-06,0.00029866970703944,0.00203956649219808,0.01,0.01,0.01,0.01,1.13,0,301,0,0,0,0.87711
circle_ideal,20260913,1,0.000767441350032739,1.51209630410135e-05,0.00391407605807689,0.0267294407510044,2.5,15,10.9999632856307,1.7690649133582,0.00275866478858993,3.9475163052009e-05,3.78889880656337e-05,2.08500861669705e-07,0.000185882336320976,0.00128016349544874,0.01,0.01,0.01,0.01,1.13,0,301,0,0,0,0.818219
stationary_ideal,20260913,1,0.000786439294395513,1.82470012844923e-05,0.00405929454024113,0.027768101065982,2.5,15,10.9971212746591,1.72121802304325,0.0029812774612463,7.55043715733676e-05,3.43063658567859e-05,7.89291474324161e-07,0.000177029856096695,0.00121092796360867,0.01,0.01,0.01,0.01,1.13,0,301,0,0,0,0.80173
maneuver_ideal,20260913,1,0.0135129707719627,0.000356044160267688,0.0700795044489824,0.474872832126676,2.5,15,11.0057074122784,1.83274216990961,0.0244416638526786,0.000742733699852455,0.0114607993560436,0.000248533553592567,0.0611377673469219,0.413255017416695,0.5,2,0.5,1.5,1.13,0.454351219208189,301,0,0,1,0.801122
circle_delayed,20260913,1,0.00171333857574473,3.09553240994269e-05,0.0082024332841747,0.0277782519777262,2.66576086613887,15,11.2669592052493,1.80584247651913,0.00604794560396216,7.83096085032135e-05,8.32417830878672e-05,5.00927689358767e-07,0.000392116398855366,0.00133174276952534,0.01,0.01,0.01,0.01,1.57,0,299,0,0,0,0.848462
maneuver_noisy,20260913,1,0.101172392473487,0.314435658663772,0.324551503481492,0.496659955897339,2.68687983948363,15.0009441688569,11.3237715356946,1.9398363300503,0.254771418069181,0.980101186850521,0.088420075326851,0.275593872786834,0.287165234373082,0.436444761045503,0.5,2,0.5,1.5,NaN,0.454351219208189,299,0,0,1,0.846125
maneuver_outage,20260913,1,0.217083490631079,0.32364040995388,0.569710324210654,0.514175356328222,2.66969888040503,15.0009441688569,11.3823268233394,1.95219024772405,1.30780854034691,0.98896400485727,0.102814919945066,0.26169833572486,0.336274303736312,0.438023183245014,0.5,2,0.5,1.5,29.97,0.454351219208189,269,0,0,0,0.855144
maneuver_weak,20260913,1,0.375955900754489,0.314456766869845,0.598343878842115,0.512584379597229,2.68687983948363,15.0009441688569,11.3237715356946,1.9398363300503,1.15602171096419,0.976189505625306,0.0883773013178596,0.275593981754411,0.286619106859314,0.433538422218854,0.5,2,0.5,1.5,NaN,0.454351219208189,299,0,0,0,0.853859
maneuver_seed_20260914,20260914,1,0.0993522243684841,0.306144386552819,0.321631261245211,0.497830100156176,2.66312120383167,15,10.9904296853478,1.85825156021358,0.233885314268276,0.751857761829998,0.107721364689809,0.332052506316037,0.33518493111067,0.438899198523969,0.5,2,0.5,1.5,NaN,0.454351219208189,299,0,0,1,0.842469
maneuver_seed_20260915,20260915,1,0.0910763537747568,0.331193555830564,0.294833333820025,0.496730313637295,2.68855892982878,15.0007443286918,11.4662591136367,1.96982035613275,0.289253848846303,1.05437978327439,0.0797313734083953,0.300433757685361,0.256582573708313,0.433304336535097,0.5,2,0.5,1.5,29.36,0.454351219208189,299,0,0,1,0.845712
maneuver_seed_20260916,20260916,1,0.0952809536983939,0.296018557091751,0.312267371391226,0.497049838778573,2.60288292287541,15,10.9180636326445,1.83925010708957,0.26498842620999,0.886537583386364,0.100554095765533,0.287271623213902,0.318757456594042,0.435765012120629,0.5,2,0.5,1.5,29.56,0.454351219208189,299,0,0,1,0.835981
maneuver_seed_20260917,20260917,1,0.0872427262933519,0.324907424765211,0.296316555291801,0.496388175629375,2.67443847944222,15,11.5011786143249,1.98299847119571,0.219687221902907,0.906842863013908,0.0820411178799814,0.340309832967698,0.28245063606317,0.433973467139342,0.5,2,0.5,1.5,29.06,0.454351219208189,299,0,0,1,0.851495
