frame,concatenated_baselineErrorM,concatenated_baselineStatus,confirmed_three_framesErrorM,confirmed_three_framesStatus,confirmed_five_framesErrorM,confirmed_five_framesStatus
1,0.0948144137790457,accepted,0.640312423976002,insufficientComponents,0.640312423976002,insufficientComponents
2,0.0926635091243658,accepted,0.0922447129909101,accepted,0.0922447129909101,accepted
3,0.0923975539515549,accepted,0.0926799983031066,accepted,0.0926799983031066,accepted
4,0.0966375292608072,accepted,0.091527523644504,accepted,0.0925565778467366,accepted
5,0.105562377630778,accepted,0.101498259922281,accepted,0.0949183431779253,accepted
6,0.109782516894018,accepted,0.112123115387486,accepted,0.102653170912721,accepted
7,0.108105756474043,accepted,0.113977593718677,accepted,0.108766034397792,accepted
8,0.0916709581086924,accepted,0.102627426339429,accepted,0.104870349869055,accepted
9,0.0907737032756847,accepted,0.096021763492315,accepted,0.105524437694327,accepted
10,0.0839381411020856,accepted,0.0858504115101082,accepted,0.0972497600063243,accepted
11,0.0534029916249745,accepted,0.0895129527418094,accepted,0.0718298538165633,accepted
12,0.036606018387276,accepted,0.0686538295128715,accepted,0.0545955474024624,accepted
13,0.0304735538123463,accepted,0.0166039329418042,accepted,0.0292266078901316,accepted
14,0.0407186295139741,accepted,0.0310208595585316,accepted,0.0307842629708401,accepted
15,0.0381332690336615,accepted,0.0315319155188799,accepted,0.0103478548419929,accepted
16,0.029494827042322,accepted,0.0231785089392572,accepted,0.00421002055447637,accepted
17,0.0209581156199886,accepted,0.0208442092313444,accepted,0.012486458240155,accepted
18,0.016954598526312,accepted,0.0277358303198646,accepted,0.0154220998124307,accepted
19,0.0179818433673732,accepted,0.0152909413817714,accepted,0.00433826862751229,accepted
20,0.0145040602343695,accepted,0.00925640497202814,accepted,0.00834746650717868,accepted
21,0.0195356280850369,accepted,0.0108637066191886,accepted,0.0071557953187891,accepted
22,0.0261388423288089,accepted,0.0156420904850251,accepted,0.0131680437055474,accepted
23,0.0171789687748133,accepted,0.0185115145129868,accepted,0.02201578084088,accepted
24,0.0147840986518828,accepted,0.0165594825419456,accepted,0.0259734375786654,accepted
25,0.0164368602889936,accepted,0.0257824109925549,accepted,0.026392658751027,accepted
26,0.02019245262455,accepted,0.0358195698770723,accepted,0.0265692731904674,accepted
27,0.0258034253284788,accepted,0.0443949974929842,accepted,0.0388123924574225,accepted
28,0.0195037327270949,accepted,0.0233913210296188,accepted,0.0436777109976418,accepted
29,0.041170138828216,accepted,0.0278429067064479,accepted,0.0399340592688377,accepted
30,0.0456061110434382,accepted,0.0535864860437103,accepted,0.056320213015003,accepted
31,0.0576657725238933,accepted,0.0584650160781175,accepted,0.0589502232300751,accepted
32,0.0513132690171338,accepted,0.0487867498293375,accepted,0.0484144182847386,accepted
33,0.0624134329447088,accepted,0.0589883505989585,accepted,0.058412738158447,accepted
34,0.0603032383865917,accepted,0.055775601724614,accepted,0.0598039103579716,accepted
35,0.0608614673326066,accepted,0.0528699634976673,accepted,0.0577121108878764,accepted
36,0.0482467534923719,accepted,0.0653117554031505,accepted,0.0600756109853553,accepted
37,0.0478375320653181,accepted,0.0582177054643104,accepted,0.0621901772249971,accepted
38,0.0455452421465901,accepted,0.0470769945647252,accepted,0.0597178917419798,accepted
39,0.0502815227018817,accepted,0.0512000541232617,accepted,0.0564606023613022,accepted
40,0.0469944560532599,accepted,0.0411443636526506,accepted,0.0555857264696761,accepted
41,0.0409738346011971,accepted,0.0571998565945328,accepted,0.048347008724803,accepted
42,0.064959278328374,accepted,0.0549417758504895,accepted,0.0524179992703317,accepted
43,0.0477936070409577,accepted,0.056274546160911,accepted,0.0554915747699457,accepted
44,0.0533118806778992,accepted,0.0505218657968983,accepted,0.044160247346988,accepted
45,0.0391472059141453,accepted,0.0411054720041708,accepted,0.0466288792363231,accepted
46,0.0571424507204216,accepted,0.0485655524738151,accepted,0.0448480491781359,accepted
47,0.0561399298244417,accepted,0.0391559680318587,accepted,0.0300599507757089,accepted
48,0.0496972195986757,accepted,0.0386115531844591,accepted,0.0380299848998529,accepted
49,0.0479576945465072,accepted,0.0472624458663165,accepted,0.0413171706748476,accepted
50,0.026061440131598,accepted,0.0285790409351433,accepted,0.0272272900191796,accepted
51,0.0228760646552943,accepted,0.0306181500996309,accepted,0.0263528323289788,accepted
52,0.0300861235330286,accepted,0.0459920304032289,accepted,0.0351502620797089,accepted
53,0.0496661736763229,accepted,0.0340380990696295,accepted,0.0320483840738348,accepted
54,0.0571842766954294,accepted,0.0358406200183603,accepted,0.0301180601560491,accepted
55,0.0672311343267262,accepted,0.0563244365073999,accepted,0.0228305127767516,accepted
56,0.074495456874593,accepted,0.0418221097315896,accepted,0.0269366182958253,accepted
57,0.0644508310262704,accepted,0.0408661353086063,accepted,0.0276187565187265,accepted
58,0.0451064083082548,accepted,0.0377283082055127,accepted,0.0289110669572487,accepted
59,0.0356248827458081,accepted,0.0277668987207291,accepted,0.0200433324814095,accepted
60,0.0307715842392816,accepted,0.0353720220709106,accepted,0.0272898092472442,accepted
61,0.0364136900310933,accepted,0.0359884567592158,accepted,0.0233307864437171,accepted
62,0.0370417277497646,accepted,0.0338590057576791,accepted,0.0233289635266309,accepted
63,0.0375166541811299,accepted,0.0358152580250122,accepted,0.0254732482240557,accepted
64,0.0290284270571125,accepted,0.0250203397038986,accepted,0.0197845200762539,accepted
65,0.0285572978070134,accepted,0.0380536160444517,accepted,0.0213079254942086,accepted
66,0.0191832753176337,accepted,0.016892166481062,accepted,0.0162914647353142,accepted
67,0.0299109105567938,accepted,0.0153044816190561,accepted,0.0315683788460806,accepted
68,0.0309847174944444,accepted,0.0328918881571331,accepted,0.0311284207858005,accepted
69,0.0320515882333898,accepted,0.0297308240844009,accepted,0.0252274149155317,accepted
70,0.0239086237320663,accepted,0.0474301272389658,accepted,0.0275408660517291,accepted
71,0.0373222036420666,accepted,0.0440885357809433,accepted,0.0429989053085812,accepted
72,0.0496940669346705,accepted,0.0511512620400881,accepted,0.0586101378744251,accepted
73,0.0461951901961752,accepted,0.0429074742586967,accepted,0.0453371205682262,accepted
74,0.0503094602372237,accepted,0.0315780959535718,accepted,0.054168937003144,accepted
75,0.0623015336718177,accepted,0.0493784077199791,accepted,0.058649067263707,accepted
76,0.0768455512474805,accepted,0.073022922167761,accepted,0.0698643348403894,accepted
77,0.0814805829275763,accepted,0.0830636111727679,accepted,0.0849281010716592,accepted
78,0.0867779880256175,accepted,0.0798089560679497,accepted,0.0928228263524796,accepted
79,0.0956843300645532,accepted,0.0783583097373223,accepted,0.115234490185578,accepted
80,0.108335517182271,accepted,0.0923896220956674,accepted,0.126065711587129,accepted
81,0.116643020946989,accepted,0.0970543527961395,accepted,0.123547754694772,accepted
82,0.130574760890991,accepted,0.124963063403394,accepted,0.139146684553342,accepted
83,0.124426210865073,accepted,0.105687790911177,accepted,0.165037608458846,accepted
84,0.151350891168537,accepted,0.147070130955899,accepted,0.173658212539095,accepted
85,0.149207630748651,accepted,0.155786305963174,accepted,0.178785180928374,accepted
86,0.15465324606481,accepted,0.153277608392245,accepted,0.179396342881349,accepted
87,0.153835116402324,accepted,0.153656728899939,accepted,0.188655037354274,accepted
88,0.14921121436596,accepted,0.125022046612418,accepted,0.186293453773356,accepted
89,0.144734715572904,accepted,0.124990051861306,accepted,0.188001276674677,accepted
90,0.152439492486204,accepted,0.131910553288152,accepted,0.193024523468477,accepted
91,0.143354638484072,accepted,0.127505992771865,accepted,0.175859166694315,accepted
92,0.114177532118387,accepted,0.116157741407945,accepted,0.169456923200662,accepted
93,0.121296185151626,accepted,0.136391854954135,accepted,0.177734997205768,accepted
94,0.139881116114151,accepted,0.149933918557229,accepted,0.168197408366847,accepted
95,0.142847448469497,accepted,0.115382714412285,accepted,0.182206962934551,accepted
96,0.133724342561772,accepted,0.112048284837414,accepted,0.204214276273421,accepted
97,0.14240391987543,accepted,0.147610291795875,accepted,0.181760079367176,accepted
98,0.116407596033154,accepted,0.0934713334024412,accepted,0.176886583532764,accepted
99,0.0976199279066866,accepted,0.0667521313474596,accepted,0.162852460992052,accepted
100,0.0657063226749756,accepted,0.062579432556514,accepted,0.128342071338727,accepted
101,0.0692714153581842,accepted,0.0671885519215647,accepted,0.114431032574575,accepted
102,0.0528805905545087,accepted,0.0588206789649523,accepted,0.109584910381937,accepted
103,0.0356014074201575,accepted,0.0169737575026387,accepted,0.0843775385229747,accepted
104,0.0359916959127732,accepted,0.0211332411708719,accepted,0.0727710649706062,accepted
105,0.0565265539246246,accepted,0.0640069842576462,accepted,0.0646699962092459,accepted
106,0.0649986235220973,accepted,0.0691802196565212,accepted,0.0616291613655166,accepted
107,0.059632608439912,accepted,0.0622508863849404,accepted,0.0556391369703567,accepted
108,0.0338069312316025,accepted,0.0306264250253732,accepted,0.0527864202660941,accepted
109,0.0440448515916759,accepted,0.0353693556486787,accepted,0.0424116551409195,accepted
110,0.0469215328377616,accepted,0.069511957385602,accepted,0.0264516166195613,accepted
111,0.0504066224847683,accepted,0.059104427028877,accepted,0.0292967674899533,accepted
112,0.0465454414131717,accepted,0.0453823015038841,accepted,0.0398729569363872,accepted
113,0.0541165936958567,accepted,0.0492086272224332,accepted,0.0431329468762977,accepted
114,0.0824929820865349,accepted,0.099194564174857,accepted,0.0504098035442731,accepted
115,0.0987429481112462,accepted,0.0976674604888131,accepted,0.0427092137417753,accepted
116,0.0763854664399116,accepted,0.0753274002460695,accepted,0.0544981844316916,accepted
117,0.0614393655616372,accepted,0.0537081185204836,accepted,0.0607640626999869,accepted
118,0.0489265502350596,accepted,0.0467826515297075,accepted,0.0493992201381485,accepted
119,0.01657876878368,accepted,0.0240140168655599,accepted,0.0343154721981241,accepted
120,0.0061448216859344,accepted,0.0167989812433931,accepted,0.0405338929791823,accepted
121,0.0117380562160493,accepted,0.0262746070537924,accepted,0.0226368668876164,accepted
122,0.0111329676255563,accepted,0.0579410882212161,accepted,0.0413232688144124,accepted
123,0.0285306826054381,accepted,0.0599061097095073,accepted,0.0563181944031939,accepted
124,0.0412380159105178,accepted,0.0793599347260246,accepted,0.0628412323869297,accepted
125,0.0810608242411213,accepted,0.100929875092284,accepted,0.0983823779909482,accepted
126,0.0702728781475582,accepted,0.0860243088264153,accepted,0.080791044019446,accepted
127,0.0939132246140308,accepted,0.132161409690885,accepted,0.0587802290279092,accepted
128,0.0672551284411992,accepted,0.113275372272329,accepted,0.065414056095178,accepted
129,0.0808014450594569,accepted,0.103569749891797,accepted,0.0690480834162596,accepted
130,0.0974614013718336,accepted,0.123630038869803,accepted,0.0847171304744878,accepted
131,0.150483202056121,accepted,0.209883683002463,accepted,0.110305422037965,accepted
132,0.152771222779021,accepted,0.195191538601351,accepted,0.105250330311492,accepted
133,0.12889337301609,accepted,0.145428566365931,accepted,0.132338861944108,accepted
134,0.125611458568295,accepted,0.130041501384355,accepted,0.145261266687629,accepted
