scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.092030245366881,0.0591727275604558,0.178784521254965,0.640312423976002,0.757057313943541,0.469522627988677,1166,0,0.204355
both,outage_40_60,199,0.04146951255641,0.0391492570482748,0.0643506542649035,0.0828413894760921,1,0.350609690657181,199,0,0.204355
both,recovery_60_70,100,0.073971990726045,0.0695644308044536,0.119220196007127,0.123241382780568,0.81,0.563945784744799,100,0,0.204355
lidar_only,full,1169,0.214461895581,0.142174768314508,0.441917189233514,0.701608235059653,0.307955517536356,0.469535575727756,0,3,0.099631
lidar_only,outage_40_60,199,0.0979516047372406,0.066847152447172,0.215507857653863,0.25020786759215,0.743718592964824,0.350609690657181,0,0,0.099631
lidar_only,recovery_60_70,100,0.140493590625517,0.111954215727088,0.231688685151805,0.260418355106511,0.4,0.563945784744799,0,0,0.099631
gnss_only,full,1169,0.0919322844206902,0.0616823310595346,0.192688547091038,0.640312423976002,0.774165953806672,1.45992874187776,0,0,0.103234
gnss_only,outage_40_60,199,0.0448420691896239,0.0422206735653405,0.0686343845839082,0.0994759316718972,1,1.00256388763619,0,0,0.103234
gnss_only,recovery_60_70,100,0.0717769952821223,0.0403147815799425,0.129822881893113,0.144893757547151,0.77,1.51430148822577,0,0,0.103234
gnss_outage,full,1169,0.0985784548344715,0.0687089226582906,0.187290194718116,0.640312423976002,0.718562874251497,0.469522627988677,967,0,0.119469
gnss_outage,outage_40_60,199,0.0951362465200629,0.0666708928651688,0.21177975610508,0.247335548808471,0.773869346733668,0.350609690657181,0,0,0.119469
gnss_outage,recovery_60_70,100,0.0739839210801131,0.0695638374642283,0.119220508674267,0.123242113589674,0.81,0.563945784744799,100,0,0.119469
lidar_outage,full,1169,0.0921419673634845,0.0568629509917462,0.17877214330429,0.640312423976002,0.759623609923011,0.455652464467368,967,0,0.120051
lidar_outage,outage_40_60,199,0.0461605717408648,0.0455980580556354,0.0538948616751366,0.0660135320204319,1,0.225042030908844,0,0,0.120051
lidar_outage,recovery_60_70,100,0.0702307878203329,0.0665681141153876,0.111589990815969,0.116102664131785,0.85,0.558451934508771,100,0,0.120051
both_outage,full,1169,0.376922885006341,0.0794511236569412,1.06295230350311,1.28800731921395,0.596236099230111,0.448217517863653,967,199,0.107702
both_outage,outage_40_60,199,0.882680640485123,0.966067964020454,1.24837712974585,1.28800731921395,0.0703517587939698,0.0992791145964975,0,199,0.107702
both_outage,recovery_60_70,100,0.142380769352915,0.0634489223988539,0.184311617349566,0.894939143985056,0.79,0.560781956458995,100,0,0.107702
alternating,full,1169,0.183755546875963,0.143019369588499,0.319152274020409,0.640312423976002,0.309666381522669,0.494823056672213,0,2,0.073317
alternating,outage_40_60,199,0.116902993477463,0.101383088850788,0.190674229630743,0.311970078476799,0.477386934673367,0.398361367704784,0,0,0.073317
alternating,recovery_60_70,100,0.175571562790944,0.168132782170268,0.267785702493416,0.295762273660311,0.2,0.55283218879085,0,0,0.073317
