order,frame,start,availableMs,waitingMs,computeMs,availabilityToPoseMs,accepted,reason,periodSeconds,directionalAccepted
1,1050,1,0,0.156,72.801,72.957,1,accepted,0.1,0
2,550,3,100,0.122999999999998,73.974,74.097,1,accepted,0.1,0
3,900,2,200,0.0489999999999935,84.56,84.609,1,accepted,0.1,0
4,900,3,300,0.0369999999999537,75.332,75.369,1,accepted,0.1,0
5,550,1,400,0.195999999999974,71.244,71.44,1,accepted,0.1,0
6,900,1,500,0.175999999999954,73.1280000000001,73.304,1,accepted,0.1,0
7,260,1,600,0.0589999999999202,65.485,65.5439999999999,1,accepted,0.1,0
8,700,1,700,0.0189999999998802,67.717,67.7359999999999,1,accepted,0.1,0
9,350,3,800,0.015999999999905,66.1400000000001,66.156,1,accepted,0.1,0
10,260,3,900,0.016000000000016,57.012,57.028,1,accepted,0.1,0
11,700,3,1000,0.0180000000000735,64.9379999999999,64.956,1,accepted,0.1,0
12,550,2,1100,0.0169999999999337,69.96,69.977,1,accepted,0.1,0
13,350,1,1200,0.015999999999794,60.8280000000001,60.8439999999999,1,accepted,0.1,0
14,260,2,1300,0.0649999999999817,60.797,60.862,1,accepted,0.1,0
15,700,2,1400,0.0189999999997692,71.5220000000001,71.5409999999999,1,accepted,0.1,0
16,1050,2,1500,0.0249999999999417,69.3160000000002,69.3410000000001,1,accepted,0.1,0
17,120,3,1600,0.0219999999999665,62.7949999999999,62.8169999999999,1,accepted,0.1,0
18,350,2,1700,0.0349999999997852,81.796,81.8309999999998,1,accepted,0.1,0
19,120,1,1800,0.0989999999998492,63.536,63.6349999999999,1,accepted,0.1,0
20,1050,3,1900,0.0209999999998267,65.942,65.9629999999998,1,accepted,0.1,0
21,120,2,2000,0.0179999999998515,61.8050000000001,61.823,1,accepted,0.1,0
