frame,scans,spanSeconds,components,unfilteredComponents,rejectedSingletons,minimumSupport,meanStability,windowMs
1,1,0,0,54,54,0,0,3.699
2,2,0.0998559667310051,50,117,17,2,0.666666666666667,5.142
3,3,0.200121057709047,58,177,17,2,0.919540229885057,3.088
4,3,0.2000170210283,59,180,19,2,0.909604519774011,2.693
5,3,0.199366791773633,54,178,25,2,0.944444444444444,2.186
6,3,0.199509322026256,49,170,26,2,0.979591836734694,2.132
7,3,0.199869549033342,53,168,19,2,0.937106918238994,1.924
8,3,0.200004536626611,53,166,21,2,0.911949685534591,2.043
9,3,0.200305982909075,53,167,20,2,0.924528301886792,2.344
10,3,0.200834229155566,53,165,18,2,0.924528301886792,2.176
11,3,0.201565607021217,52,165,17,2,0.948717948717949,2.023
12,3,0.199460944969709,57,170,14,2,0.912280701754386,1.865
13,3,0.198605243270566,54,175,19,2,0.962962962962963,1.718
14,3,0.200687537435714,56,170,18,2,0.904761904761905,1.775
15,3,0.200380109044107,53,166,19,2,0.924528301886792,1.999
16,3,0.200451374170418,53,161,15,2,0.918238993710692,1.617
17,3,0.199487994506703,52,156,13,2,0.916666666666667,1.837
18,3,0.198692634082393,48,156,18,2,0.958333333333333,1.841
19,3,0.199922867832224,53,156,14,2,0.893081761006289,1.809
20,3,0.200105972390339,55,159,13,2,0.884848484848485,1.849
21,3,0.200086725604401,53,165,20,2,0.911949685534591,1.65
22,3,0.19997098479707,54,161,17,2,0.888888888888889,1.521
23,3,0.200446172336381,51,166,28,2,0.901960784313725,1.698
24,3,0.200712506239093,51,157,19,2,0.901960784313725,1.815
25,3,0.199531169729212,51,159,19,2,0.915032679738562,1.597
26,3,0.199845100413366,48,155,23,2,0.916666666666667,1.887
27,3,0.199701009610532,47,158,31,2,0.900709219858156,1.901
28,3,0.199559519724716,48,165,36,2,0.895833333333333,1.93
29,3,0.20117468919331,46,150,28,2,0.884057971014493,1.457
30,3,0.200469060406145,44,148,30,2,0.893939393939394,3.771
31,3,0.199588649995325,40,140,32,2,0.9,1.826
32,3,0.199009945958671,51,158,28,2,0.849673202614379,2.322
33,3,0.199315293616663,49,164,30,2,0.91156462585034,1.99
34,3,0.200513796178866,49,163,26,2,0.931972789115646,1.643
35,3,0.199922087557119,55,164,14,2,0.909090909090909,1.827
36,3,0.199730920156246,49,146,16,2,0.884353741496599,1.661
37,3,0.201610342793938,49,149,22,2,0.863945578231293,1.696
38,3,0.200499231043562,49,148,22,2,0.857142857142857,1.816
39,3,0.199070027141802,47,151,24,2,0.900709219858156,1.492
40,3,0.199673439890134,43,135,28,2,0.829457364341085,1.343
41,3,0.200261507228056,43,144,38,2,0.821705426356589,1.725
42,3,0.20074839889395,54,165,33,2,0.814814814814815,1.69
43,3,0.199989971491306,55,181,35,2,0.884848484848485,1.873
44,3,0.2002258746649,45,154,38,2,0.859259259259259,1.402
45,3,0.199301248664763,32,126,37,2,0.927083333333333,1.421
46,3,0.199139991809604,35,140,44,2,0.914285714285714,1.869
47,3,0.199724938047103,50,153,34,2,0.793333333333333,1.844
48,3,0.200010518735754,54,180,40,2,0.864197530864198,1.895
49,3,0.201260519454927,51,165,33,2,0.862745098039216,1.699
50,3,0.20129719238489,58,178,32,2,0.839080459770115,1.893
51,3,0.199019309259938,47,148,31,2,0.829787234042553,1.495
52,3,0.198730087287463,49,152,33,2,0.80952380952381,1.738
53,3,0.199964742596225,45,138,28,2,0.814814814814815,1.612
54,3,0.199793342164694,45,160,35,2,0.925925925925926,2.01
55,3,0.20053798470714,44,138,29,2,0.825757575757576,1.754
56,3,0.200251363651683,28,104,36,2,0.80952380952381,1.091
57,3,0.200034967355729,27,112,47,2,0.802469135802469,1.729
58,3,0.199743664649638,43,135,40,2,0.736434108527132,2.018
59,3,0.199429733965484,52,172,38,2,0.858974358974359,1.871
60,3,0.20015356917178,49,160,34,2,0.857142857142857,1.753
61,3,0.200465159030617,48,158,34,2,0.861111111111111,1.68
62,3,0.200589742955811,46,152,34,2,0.855072463768116,1.835
63,3,0.20063135762811,45,148,32,2,0.859259259259259,1.614
64,3,0.199780337579601,36,119,36,2,0.768518518518519,1.285
65,3,0.19941516883018,29,105,36,2,0.793103448275862,1.296
66,3,0.199294226188812,28,112,43,2,0.821428571428572,1.695
67,3,0.199637547235277,28,116,46,2,0.833333333333334,3.647
68,3,0.200551249383936,31,118,41,2,0.827956989247312,2.668
69,3,0.200024823779356,28,94,25,2,0.821428571428572,1.15
70,3,0.200532002597996,30,100,23,2,0.855555555555556,1.291
71,3,0.199749126575377,32,95,13,2,0.854166666666667,1.167
72,3,0.198969111561478,29,101,24,2,0.885057471264368,1.312
73,3,0.199942114618162,30,100,22,2,0.866666666666667,1.327
74,3,0.200560092501799,29,103,29,2,0.850574712643678,1.254
75,3,0.201496162536818,32,112,28,2,0.875,1.706
76,3,0.200395194362815,35,125,34,2,0.866666666666667,1.538
77,3,0.198379743765048,43,139,29,2,0.852713178294574,1.566
78,3,0.199358468839173,41,133,30,2,0.83739837398374,1.417
79,3,0.200724470457378,39,130,29,2,0.863247863247863,1.437
80,3,0.200262027411459,42,144,37,2,0.849206349206349,1.875
81,3,0.199942374709864,52,164,30,2,0.858974358974359,1.677
82,3,0.199942374709863,53,181,40,2,0.886792452830189,1.974
83,3,0.200761403479044,57,213,62,2,0.883040935672515,2.477
84,3,0.199461205061411,70,231,62,2,0.804761904761905,2.515
85,3,0.198976914312533,80,265,74,2,0.795833333333333,2.544
86,3,0.200377508127088,86,273,69,2,0.790697674418605,2.742
87,3,0.200088026062911,69,249,89,2,0.772946859903382,1.997
88,3,0.200589222772408,70,248,89,2,0.757142857142857,2.321
89,3,0.200075541661219,75,234,59,2,0.777777777777778,2.199
90,3,0.199444039009087,81,260,51,2,0.860082304526749,2.058
91,3,0.199959020578785,72,237,76,2,0.74537037037037,2.541
92,3,0.199882033435031,82,256,69,2,0.760162601626016,2.315
93,3,0.199837037570608,71,250,67,2,0.859154929577465,2.325
94,3,0.199872149950361,61,226,70,2,0.852459016393442,1.823
95,3,0.200201165953223,58,201,49,2,0.873563218390805,2.011
96,3,0.200789233291143,69,204,39,2,0.797101449275362,1.928
97,3,0.199442218367174,76,247,52,2,0.855263157894737,2.263
98,3,0.199098117045605,76,253,57,2,0.859649122807017,2.435
99,3,0.200452414537224,90,282,50,2,0.859259259259259,2.742
100,3,0.200181138892178,92,277,39,2,0.86231884057971,2.231
101,3,0.201190554787125,91,286,50,2,0.864468864468865,2.825
102,3,0.200757242011813,90,282,48,2,0.866666666666667,2.734
103,3,0.199490335332019,94,294,52,2,0.858156028368794,2.54
104,3,0.19973274079816,95,299,55,2,0.856140350877193,2.848
105,3,0.199515824318803,103,307,49,2,0.83495145631068,2.746
106,3,0.199653933012495,98,311,61,2,0.850340136054422,2.699
107,3,0.199584228436393,100,311,59,2,0.84,2.764
108,3,0.199826633902532,94,301,64,2,0.840425531914894,2.678
109,3,0.202324814698967,95,299,54,2,0.859649122807018,2.421
110,3,0.200185820542814,93,300,60,2,0.860215053763441,2.549
111,3,0.19781040302966,96,324,69,2,0.885416666666667,2.677
112,3,0.199868768758236,98,331,72,2,0.880952380952381,2.49
113,3,0.200268529704006,99,328,67,2,0.878787878787879,2.768
114,3,0.200418862707684,99,312,49,2,0.885521885521886,2.788
115,3,0.199970984797069,102,317,51,2,0.869281045751634,2.715
116,3,0.200236278332975,108,325,40,2,0.87962962962963,2.596
117,3,0.199669278422904,106,311,35,2,0.867924528301887,2.574
118,3,0.199263795459693,100,295,37,2,0.86,2.41
119,3,0.200338234280107,87,285,50,2,0.900383141762452,2.781
120,3,0.20003652790594,96,285,31,2,0.881944444444445,2.509
121,3,0.200189461826637,91,284,39,2,0.897435897435897,2.444
122,3,0.200850354841082,94,288,41,2,0.875886524822695,2.802
123,3,0.199241947756736,89,286,45,2,0.902621722846442,2.813
124,3,0.198896545976657,91,287,46,2,0.882783882783883,2.546
125,3,0.200154869630291,88,265,30,2,0.890151515151515,2.506
126,3,0.200372306293051,79,258,38,2,0.928270042194093,2.448
