frame,reason,sameDecision,poseDifference,informationDifference
1,accepted,1,9.94652945721108e-10,7.29364601730078e-12
28,accepted,1,4.65661287307875e-09,1.57224148349775e-14
91,accepted,1,4.6598859037351e-09,4.74969542671164e-14
214,inconsistentClasses,1,0,2.74416896841384e-13
276,accepted,1,2.79457398787345e-09,3.02863435709099e-12
384,accepted,1,9.59985336668558e-10,2.20279677626284e-13
425,accepted,1,3.74750667317318e-09,2.29922804720192e-13
600,inconsistentClasses,1,0,8.03281219549263e-12
615,inconsistentClasses,1,0,1.17183528367319e-13
746,accepted,1,4.65988590373361e-09,8.99565518815713e-14
832,accepted,1,1.88524540754753e-09,4.27351812160948e-14
855,inconsistentClasses,1,0,6.35303859124623e-12
943,inconsistentClasses,1,0,2.97026121345627e-12
966,accepted,1,2.82352157766816e-09,1.03116223200637e-12
1047,accepted,1,4.67440497896491e-09,9.11973843876874e-13
1137,inconsistentClasses,1,0,3.61673571395892e-12
1170,accepted,1,1.87714066083976e-09,7.86961455608839e-13
